-0.12,0,0,0.02,0,0,0.015,0,0,0.01,0,0,0.005,0,0,0.02,0,0,0.015,0,0
0,-0.17,0,0,0.015,0,0,0.03,0,0,0.015,0,0,0.015,0,0,0.015,0,0,0.015,0
0,0.1,-0.12,0,0,0.02,0,0,0.015,0,0,0.01,0,0,0.005,0,0,0.02,0,0,0.015
0.03,0,0,-0.13,0,0,0.01,0,0,0.005,0,0,0.02,0,0,0.015,0,0,0.01,0,0
0,0.02,0,0,-0.165,0,0,0.015,0,0,0.015,0,0,0.015,0,0,0.015,0,0,0.015,0
0,0,0.03,0,0.1,-0.13,0,0,0.01,0,0,0.005,0,0,0.02,0,0,0.015,0,0,0.01
0.01,0,0,0.03,0,0,-0.105,0,0,0.005,0,0,0.02,0,0,0.015,0,0,0.01,0,0
0,0.01,0,0,0.01,0,0,-0.185,0,0,0.015,0,0,0.015,0,0,0.015,0,0,0.015,0
0,0,0.01,0,0,0.03,0,0.1,-0.105,0,0,0.005,0,0,0.02,0,0,0.015,0,0,0.01
0.03,0,0,0.01,0,0,0.01,0,0,-0.07,0,0,0.005,0,0,0.02,0,0,0.015,0,0
0,0.01,0,0,0.01,0,0,0.01,0,0,-0.225,0,0,0.015,0,0,0.015,0,0,0.015,0
0,0,0.03,0,0,0.01,0,0,0.01,0,0.15,-0.07,0,0,0.005,0,0,0.02,0,0,0.015
0.01,0,0,0.03,0,0,0.03,0,0,0.01,0,0,-0.09,0,0,0.01,0,0,0.005,0,0
0,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0,0,-0.18,0,0,0.015,0,0,0.015,0
0,0,0.01,0,0,0.03,0,0,0.03,0,0,0.01,0,0.1,-0.09,0,0,0.01,0,0,0.005
0.03,0,0,0.01,0,0,0.01,0,0,0.03,0,0,0.03,0,0,-0.11,0,0,0.02,0,0
0,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0,0,-0.185,0,0,0.015,0
0,0,0.03,0,0,0.01,0,0,0.01,0,0,0.03,0,0,0.03,0,0.1,-0.11,0,0,0.02
0.01,0,0,0.03,0,0,0.03,0,0,0.01,0,0,0.01,0,0,0.03,0,0,-0.075,0,0
0,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0,0,-0.29,0
0,0,0.01,0,0,0.03,0,0,0.03,0,0,0.01,0,0,0.01,0,0,0.03,0,0.2,-0.075
